from	to
244730_x_at	ENSG00000269293
236777_at	ENSG00000269293
1557062_at	ENSG00000269293
1557558_s_at	ENSG00000186056
1557557_at	ENSG00000186056
231159_at	ENSG00000224440
78383_at	ENSG00000235453
221979_at	ENSG00000235453
216701_at	ENSG00000198854
217087_at	ENSG00000198854
238915_at	ENSG00000262986
238915_at	ENSG00000281930
238915_at	ENSG00000256537
221847_at	ENSG00000262986
221847_at	ENSG00000281930
221847_at	ENSG00000256537
237386_at	ENSG00000262986
237386_at	ENSG00000281930
237386_at	ENSG00000256537
236758_at	ENSG00000268994
236758_at	ENSG00000275520
1564459_at	ENSG00000226122
1556555_at	ENSG00000272142
242208_at	ENSG00000234420
215358_x_at	ENSG00000234420
236310_at	ENSG00000234420
216107_at	ENSG00000280351
239643_at	ENSG00000272989
216841_s_at	ENSG00000112096
221477_s_at	ENSG00000112096
215223_s_at	ENSG00000112096
215078_at	ENSG00000112096
229699_at	ENSG00000273033
1570398_at	ENSG00000189157
203986_at	ENSG00000189157
241118_at	ENSG00000233610
1563904_at	ENSG00000232825
242522_at	ENSG00000261787
1560537_at	ENSG00000226031
239395_at	ENSG00000281357
238093_at	ENSG00000275549
1566906_at	ENSG00000275549
1555124_at	ENSG00000279873
242519_at	ENSG00000198865
237475_x_at	ENSG00000198865
230307_at	ENSG00000258708
231595_at	ENSG00000177112
1560939_at	ENSG00000224729
235869_at	ENSG00000196951
1556736_at	ENSG00000196951
1559528_at	ENSG00000249592
62212_at	ENSG00000274386
232616_at	ENSG00000268153
216224_s_at	ENSG00000094631
206846_s_at	ENSG00000094631
211722_s_at	ENSG00000094631
220314_at	ENSG00000268738
1557406_s_at	ENSG00000256802
1557405_at	ENSG00000256802
242193_at	ENSG00000254377
236693_at	ENSG00000254377
238661_at	ENSG00000254377
1555322_at	ENSG00000279261
1564444_at	ENSG00000179447
215970_at	ENSG00000237250
213740_s_at	ENSG00000187066
1559507_at	ENSG00000215022
1555979_at	ENSG00000223764
1555980_a_at	ENSG00000223764
243048_at	ENSG00000237438
214858_at	ENSG00000218416
243871_at	ENSG00000237499
239128_at	ENSG00000188051
1559687_at	ENSG00000188051
230477_at	ENSG00000267270
1557590_at	ENSG00000267270
1557734_s_at	ENSG00000235138
1570049_at	ENSG00000188825
1559144_x_at	ENSG00000188825
240043_at	ENSG00000183631
231540_at	ENSG00000213963
236875_at	ENSG00000272899
1559920_a_at	ENSG00000185837
238488_at	ENSG00000186105
238214_at	ENSG00000214954
1555907_at	ENSG00000255737
1562738_a_at	ENSG00000259248
238997_at	ENSG00000204528
1564158_a_at	ENSG00000214353
236098_at	ENSG00000259120
1554666_at	ENSG00000261879
233840_at	ENSG00000261879
1559960_x_at	ENSG00000205078
215301_at	ENSG00000205078
230487_at	ENSG00000203711
227170_at	ENSG00000205903
235910_x_at	ENSG00000205903
242585_at	ENSG00000247572
235443_at	ENSG00000247572
239062_at	ENSG00000204282
230526_at	ENSG00000204282
242364_x_at	ENSG00000204282
231497_at	ENSG00000241560
230195_at	ENSG00000185847
1560147_at	ENSG00000243836
226482_s_at	ENSG00000215845
200012_x_at	ENSG00000220749
216479_at	ENSG00000220749
238014_at	ENSG00000189362
237044_s_at	ENSG00000237149
235929_s_at	ENSG00000237149
235928_at	ENSG00000237149
228048_at	ENSG00000237149
236593_at	ENSG00000263201
1564050_at	ENSG00000263818
1556505_at	ENSG00000251533
1559136_s_at	ENSG00000241769
1556026_at	ENSG00000241769
223783_s_at	ENSG00000231784
1558477_at	ENSG00000267882
1564485_at	ENSG00000214145
240731_at	ENSG00000274540
240731_at	ENSG00000255251
240731_at	ENSG00000284870
1569832_at	ENSG00000264278
1568864_at	ENSG00000267858
1552327_at	ENSG00000196440
1564399_a_at	ENSG00000196440
207799_x_at	ENSG00000196440
227444_at	ENSG00000196440
1557726_at	ENSG00000196440
226006_at	ENSG00000229833
1561106_at	ENSG00000231028
1554763_at	ENSG00000229547
229986_at	ENSG00000227124
221370_at	ENSG00000227124
240483_at	ENSG00000227124
237711_at	ENSG00000274195
237711_at	ENSG00000215372
