Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
ENSG00000174607,42.1502766747496,40.96460235150854,90.47873820118087,73.19757895807527,72.43825742135819,67.02708705952611,64.20631182343729,76.26589596553771,64.10548223150411,48.89175821287935
ENSG00000174611,4.934971322259927,5.770274604451654,5.1766915686207255,3.796703105605463,3.0870324963696483,6.9251941518789,7.5312024437829175,3.326229037190079,3.8195429705125896,5.442337736039708
ENSG00000174628,46.37507430885594,45.1952121905487,58.33192501345804,49.46417375288486,50.29700511696282,29.867084670260923,33.108260914047634,39.69024893016928,58.90873026833242,23.994519746649633
ENSG00000174640,40.44102643679025,50.622799024493965,15.822752253554047,12.844642074594393,29.993647875169614,28.09918925295351,15.416714907006805,13.428432927910743,30.846235055969174,31.6021263084017
ENSG00000174652,47.459562745164405,42.85929337727863,87.37931290359535,76.5085352744078,68.94475504748846,73.45347360912984,71.61153831035695,72.3692389038529,61.325187243839025,47.848338468992004
ENSG00000174667,9.948195680489654,13.342017804187291,9.89720232467542,5.669617852608521,4.8403015723749725,13.852676932863348,13.66498256337034,5.489064101632377,7.378510905764436,12.135632779340737
ENSG00000174718,47.27359560975001,46.212099502935814,70.20928615421491,58.860141654811315,56.91315762524188,50.77680392250673,51.29592201474829,52.75677802886191,58.36320694637272,37.419046746564035
ENSG00000174738,48.642050365030016,42.138385145544085,68.91595695349153,65.24913874746161,58.23811214691991,57.211642713887926,67.3974379618518,64.96740853347876,64.95263530083291,40.92912581942112
ENSG00000174749,104.3325489136239,120.74111365019722,184.4453291109122,138.62750896665267,126.07743139824214,183.37364213987473,160.262284330518,143.13043356699322,120.54468638115245,135.3181306064195
ENSG00000174775,38.63521233156973,37.96638860982928,77.01200517852233,66.25964009750649,63.39148459198081,64.27827532279045,60.35229296008124,63.46473258115456,49.72816025933684,44.44038694768435
ENSG00000174791,12.858568991237217,12.661916838088725,20.550163973289596,18.60190644462821,16.876517260891706,18.46469838844391,17.932282863627123,19.633024770406305,17.033444878529785,15.06937530712797
ENSG00000174804,14.812305262074384,15.80217445274767,9.796028238968054,9.940119886998708,12.684673500236494,13.02219893104516,12.086592468333158,9.449962401687056,12.155526359273724,12.106891352301686
ENSG00000174807,16.82723778067384,8.151486291489665,13.409684385340496,26.95413133729302,32.59581037465759,22.67955596589541,11.162666495666864,25.959758884729602,2.02059514422499,18.241337449773937
ENSG00000174808,11.25362914355357,10.826289952740488,26.568069005335563,22.369384081584336,21.61214162165388,18.828005807040363,16.80746589269062,21.22079758039982,17.10669784693755,12.404384535298906
ENSG00000174827,91.58978751631744,97.09124763660016,272.2616826190478,228.2704175123914,220.88630162092895,194.78861299373736,153.88726083889082,220.87651634655757,155.77668921352947,127.79192721739089
ENSG00000174842,13.68969716663427,13.341288714265602,19.866540072242735,17.82521938651997,16.688383647786036,17.24823478388646,19.1742182053411,15.8923171707441,15.048528139751006,13.095168568882038
ENSG00000174871,37.619098353465596,40.5136519209412,101.68364798637339,89.4960742100892,83.37582711526201,92.74257757945887,85.99549236876955,91.96918844483586,55.99366359830306,64.69113251100542
