Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
ENSG00000185513,0.16253574984978264,0.1906797227266819,0.32183152436244883,0.3977956472990201,0.19204412032519166,0.32086302498825836,0.24290961315780463,0.3750587560005995,0.2393249165753656,0.3745031183037387
ENSG00000185515,0.2291764373866767,0.21740235381724282,0.22976950761652315,0.23507494893575948,0.2405322363363465,0.19886317968968334,0.2187853182081351,0.22867115312749833,0.24099541715612827,0.2042020672760702
ENSG00000185519,0.09948310796287359,0.10444697740097822,0.1878945967871526,0.17552958634773055,0.15212106574971065,0.1565209111991914,0.15631135502613303,0.22101751554515386,0.19208616339226803,0.1301776123614737
ENSG00000185522,0.03525052128020344,0.040531795655953266,0.0323315996708552,0.023076318579292935,0.023790022193954506,0.035218080832504266,0.042501824900674307,0.02388770916300242,0.032723794400773984,0.03479043111041872
ENSG00000185551,0.24229857519904002,0.19913958147897048,0.21274081421233293,0.2667627904171243,0.3207220983203474,0.25028620943119195,0.17520715879773902,0.25492682647203907,0.15498146990874134,0.21496465688988253
ENSG00000185559,1.7935338603179285,1.2761102948009369,0.3206761945144565,0.9852115258360595,0.5429808003660628,0.9954467287093907,2.686547083846663,0.30977484741527694,1.133238399099211,0.655261522109121
ENSG00000185565,0.16250048946311588,0.12453757541062085,0.2050958500295935,0.22480919325357301,0.1747270516927879,0.22746112836899035,0.2572572260996946,0.24151919212603457,0.2072857842237855,0.1502735341471796
ENSG00000185567,0.08949070405658341,0.11262319439238576,0.2157788739890268,0.3307981368152556,0.1420667815351818,0.18773590115338812,0.124642735719075,0.267392450354524,0.13127275526173832,0.2878293374653498
ENSG00000185585,0.089298822050543,0.06818974026459108,0.06399323616025529,0.10714943776085363,0.1313085085599549,0.10836450647500191,0.062289204396797096,0.10378463274751276,0.029788662669153972,0.09515120079095067
ENSG00000185614,0.14432815214325798,0.19436976477821657,0.20066148508073306,0.32402766243825104,0.17523510523366237,0.23794729698087774,0.1292554248200498,0.2752891643530663,0.15162812554326918,0.3504172206497309
ENSG00000185615,0.3491036107380931,0.2813862479490055,0.2691143229225612,0.041418722829471406,0.26703563395858876,0.07670653729960246,0.3613213400738569,0.03511817488674965,0.2542835381783147,0.202155441873384
ENSG00000185621,0.11196884651265046,0.11382786644587417,0.1105170299121054,0.10527051931737971,0.10133592398861348,0.11651884531913032,0.10377041876042761,0.10241885388745717,0.10862839218836959,0.10555980596353817
ENSG00000185633,0.3027286606134457,0.16169585552749424,0.2527892276373595,0.4853816538088802,0.5642370910762649,0.40361722424684915,0.2213714959278388,0.46979582904396444,0.06917383007241171,0.3395772191605101
ENSG00000185650,3.4339016650006355,2.7414934030160607,3.331115142761101,3.2661074729687716,4.1174222199614015,2.2426686038403685,2.667156597747267,2.7168196976011076,2.5527789975504467,2.741431583081003
ENSG00000185658,0.5815899046751148,0.5761319688414699,0.5748221111968157,0.536516793431982,0.5434123766349617,0.6200566720331528,0.5635063882194654,0.5867311571949564,0.6197525523576075,0.5309613499613708
ENSG00000185684,0.10045732080611593,0.11256388309849252,0.09832559153744035,0.07709923470485869,0.07508164596550464,0.11788604544400635,0.11406838703498946,0.08481493255478947,0.09682975052476012,0.10387099220790426
ENSG00000185745,0.18688302134506074,0.1569819063176534,0.2172704112319496,0.2772573454765721,0.18996807587870693,0.20394084551809288,0.21083597553769776,0.27648934774025946,0.2504387669367182,0.1952453455428999
ENSG00000185875,0.18720830612375683,0.20882341146952024,0.1114154865568446,0.11355802278323815,0.15096718684656033,0.15237905567768925,0.14054219956206532,0.12585706642999347,0.18025288850514745,0.15272860124084445
ENSG00000185880,0.2710619780808161,0.2601540387496968,0.28690250857133626,0.24176630603472266,0.26098880294188886,0.22739355384560733,0.2640848411370846,0.23177739483542692,0.28692515747843444,0.20935971346295892
ENSG00000185885,1.5816332845103562,1.6222314337417671,0.6537395295521345,1.1114934302203983,1.790323821745947,1.5111914537353444,0.702596355986292,1.1300767914100152,0.7231070672145159,1.4901388376671147
ENSG00000185905,0.07771685634086284,0.12308984305861093,0.26997472958089075,0.4346691492123944,0.15722732220655408,0.24646140486079893,0.150147350341761,0.375888635161903,0.16068273933207633,0.4044689852130064
ENSG00000185909,0.22388099960605876,0.2099037305442754,0.21447365843034086,0.26874452816202304,0.2703173736727723,0.23651281100770966,0.17293090330030586,0.26655741242813324,0.1990122212943849,0.24531416510354945
ENSG00000185917,0.12097190560972368,0.12502340705027398,0.11073887827327093,0.10266453849564079,0.11324658577850968,0.11652408857163919,0.11039192503914375,0.10685577734506597,0.11516527889345393,0.11093619749983614
ENSG00000185947,0.152486292361056,0.16639970200286697,0.13271635401477552,0.13748910682784443,0.15247872536429902,0.13028922864840203,0.10955437607207578,0.13486937803133656,0.15152974281285625,0.14792214883832447
ENSG00000185950,0.145119689169892,0.13682832246765853,0.26865973569829266,0.29318747848141363,0.2073785073028051,0.24772483562588485,0.18769346583195576,0.3229623780369443,0.23379114294193837,0.22341248901499666
ENSG00000185973,0.12451110777881756,0.11104573174317063,0.20181721058804464,0.2561805178831397,0.15634677939038294,0.1754293992757792,0.15733839397240537,0.2303153959741802,0.1597412607918262,0.2024188296382244
ENSG00000186026,0.0876373946651022,0.11121208554776205,0.19935108785416422,0.2962134764477094,0.1224419101654498,0.18783517622270268,0.13632239185159922,0.24909822785195962,0.12652734530022017,0.2754007646782402
ENSG00000186063,0.2610456678753645,0.22612159265537082,0.27246794105329647,0.2887077564666849,0.29623061724575717,0.2648769630352377,0.24868533236749138,0.3008819168590314,0.2700046591614711,0.23392812716414546
ENSG00000186081,0.011582027559358986,0.011029230051553124,0.014721045316020228,0.013313964984876477,0.013387162736182281,0.0009414565304458644,0.001756475544608703,0.007805157725952643,0.016813774734791273,0.0007277587784619759
ENSG00000186094,0.03370165702509503,0.041174782763742035,0.03450636763085021,0.02992929771706661,0.023660127847034147,0.04107345235559048,0.04670887394064146,0.04028523958572464,0.044704540456660544,0.04032790752952777
ENSG00000186106,0.18630754235990812,0.19911214460589444,0.2670466133032561,0.34060010475457086,0.21365142203483214,0.26788703641885475,0.22537911313743003,0.3214703055236259,0.23402667821899853,0.3132953584693439
ENSG00000186141,0.424811419883859,0.4630064815765879,0.4368538434454502,0.5329118785134019,0.462117520319167,0.45504561269156535,0.36042910404948475,0.5030494495147317,0.42377764596903184,0.5576136607616893
