NAME,Description,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000123689,G0S2,0.024,0.2,0.72,11.904000000000002,0.09,0.039,0.025,5.377000000000001,0.015,0.026000000000000002,0.009000000000000001,0.161,0.07200000000000001,8.749
ENSG00000124107,SLPI,0.0,0.035,0.055999999999999994,0.002,0.002,0.0,0.0,0.0,0.002,0.002,0.0,0.048,0.0,0.037000000000000005
ENSG00000124191,TOX2,0.345,0.258,0.045,0.011000000000000001,0.01,0.087,0.024,0.006999999999999999,0.021,0.061,0.040999999999999995,0.07,0.405,0.004
ENSG00000124225,PMEPA1,0.064,0.35200000000000004,0.5539999999999999,0.051,0.059000000000000004,0.057,0.055,0.025,0.153,0.057,0.059000000000000004,0.2,0.03,0.032
ENSG00000124253,PCK1,0.035,0.027000000000000003,0.032,0.036000000000000004,0.033,0.038,0.028999999999999998,0.012,0.015,0.026000000000000002,0.061,2.0869999999999997,0.012,0.018000000000000002
ENSG00000124406,ATP8A1,0.733,0.127,0.055,0.051,0.14300000000000002,0.21,0.508,0.069,0.235,0.313,0.883,0.08199999999999999,0.22,0.0
ENSG00000124440,HIF3A,0.009000000000000001,0.741,0.039,0.004,0.004,0.002,0.008,0.005,0.005,0.004,0.0,0.004,0.005,0.0
ENSG00000124491,F13A1,0.0,0.003,0.0,0.278,0.0,0.0,0.0,0.016,0.006999999999999999,0.002,0.0,0.011000000000000001,0.0,0.409
ENSG00000124721,DNAH8,0.001,0.0,0.001,0.003,0.032,0.006,0.002,0.005,0.003,0.008,0.0,0.002,0.129,0.0
ENSG00000124731,TREM1,0.0,0.0,0.057999999999999996,0.741,0.002,0.001,0.002,0.193,0.002,0.004,0.0,0.001,0.0,0.665
ENSG00000124766,SOX4,0.565,1.3,1.3130000000000002,0.494,0.09,0.062,0.233,0.638,0.114,0.409,0.519,0.823,0.35,0.314
ENSG00000124785,NRN1,0.001,1.406,0.009000000000000001,0.024,0.002,0.003,0.003,0.021,0.0,0.004,0.006,0.064,0.001,0.02
ENSG00000124875,CXCL6,0.003,0.003,3.2739999999999996,0.012,0.002,0.002,0.002,0.002,0.003,0.005,0.0,0.004,0.003,0.013000000000000001
ENSG00000124882,EREG,0.136,0.021,0.084,3.673,0.009000000000000001,0.025,0.024,1.37,0.017,0.016,0.0,0.048,0.032,3.0589999999999997
ENSG00000125144,MT1G,0.034,0.081,0.196,3.667,0.177,0.121,0.217,0.242,0.046,0.33399999999999996,0.105,2.795,0.306,0.737
ENSG00000125148,MT2A,4.606,11.681,15.477,21.296,3.568,3.4010000000000002,6.974,5.41,0.593,3.925,1.706,4.439,5.841,5.343999999999999
ENSG00000125245,GPR18,0.294,0.009000000000000001,0.026000000000000002,0.028999999999999998,0.368,0.263,0.488,0.07400000000000001,1.5619999999999998,0.508,0.917,0.033,0.115,0.037000000000000005
ENSG00000125255,SLC10A2,0.0,0.0,0.001,0.004,0.0,0.003,0.001,0.0,0.003,0.001,0.011000000000000001,0.142,0.001,0.0
ENSG00000125378,BMP4,0.0,0.043,0.8859999999999999,0.001,0.001,0.0,0.002,0.0,0.0,0.002,0.0,0.006999999999999999,0.0,0.011000000000000001
ENSG00000125538,IL1B,0.033,0.05,0.073,14.485999999999999,0.037000000000000005,0.016,0.021,3.6310000000000002,0.02,0.024,0.0,0.039,0.027000000000000003,20.654
ENSG00000125726,CD70,0.005,0.001,0.015,0.026000000000000002,0.35600000000000004,0.06,0.078,0.215,0.039,0.009000000000000001,0.013999999999999999,0.038,0.20199999999999999,0.005
ENSG00000125730,C3,0.004,0.008,3.135,0.034,0.004,0.001,0.001,0.002,0.002,0.006999999999999999,0.0,0.008,0.0,0.03
