NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000120729,0.0,0.0,0.003,0.003,0.002,0.001,0.002,0.002,0.003,0.001,0.0,0.093,0.0,0.0
ENSG00000120738,1.202,4.809,5.577000000000001,1.262,0.643,0.966,0.603,0.38,0.16,0.14400000000000002,0.08,1.379,0.14800000000000002,0.0
ENSG00000120756,0.01,0.005,0.009000000000000001,0.012,0.004,0.008,0.008,0.009000000000000001,0.004,0.018000000000000002,0.0,0.303,0.006,0.033
ENSG00000120833,0.242,1.423,0.446,0.073,0.01,0.057,0.046,0.237,0.003,0.018000000000000002,0.027000000000000003,0.073,0.049,0.0
ENSG00000120875,1.272,0.136,0.073,0.531,0.631,0.632,1.249,2.371,0.179,0.266,0.017,0.302,3.188,0.257
ENSG00000120885,0.03,2.2,1.757,0.062,0.017,0.059,0.078,0.052000000000000005,0.008,0.039,0.0,0.585,0.02,0.048
ENSG00000121068,0.004,0.034,0.5329999999999999,0.0,0.0,0.0,0.001,0.002,0.002,0.002,0.0,0.028,0.0,0.002
ENSG00000121207,0.026,0.005,0.019,0.001,0.018000000000000002,0.01,0.009000000000000001,0.011,0.026,0.013,0.0,0.02,0.015,0.0
ENSG00000121552,0.008,0.013,0.052000000000000005,3.143,0.004,0.004,0.006999999999999999,1.856,0.003,0.009000000000000001,0.0,0.008,0.013,2.286
ENSG00000121858,0.462,3.172,1.158,0.556,0.103,0.276,0.19,0.242,0.16,0.228,0.094,0.271,0.232,1.185
ENSG00000122641,0.0,0.008,0.7020000000000001,1.163,0.004,0.002,0.005,0.345,0.006,0.0,0.0,0.006,0.005,0.644
ENSG00000122679,0.013,5.4,0.063,0.005,0.001,0.006999999999999999,0.003,0.003,0.009000000000000001,0.001,0.0,0.006,0.009000000000000001,0.023
ENSG00000122711,0.121,0.101,0.095,0.157,0.086,0.115,0.08199999999999999,0.103,0.119,0.121,0.16,6.749,0.182,0.377
ENSG00000122786,0.008,5.282,23.864,0.034,0.045,0.026,0.032,0.029,0.025,0.042,0.042,0.741,0.034,0.066
ENSG00000122861,0.013,0.4,1.262,0.248,0.005,0.004,0.004,0.08900000000000001,0.001,0.002,0.0,0.031,0.002,0.35700000000000004
ENSG00000122870,0.005,0.0,0.544,0.003,0.002,0.001,0.0,0.005,0.0,0.0,0.0,0.01,0.0,0.0
ENSG00000122877,0.188,0.158,0.087,0.181,0.129,0.091,0.105,0.053,0.047,0.013,0.01,0.054000000000000006,0.017,0.5
ENSG00000123096,0.009000000000000001,0.047,0.857,0.006,0.5670000000000001,0.002,0.004,0.018000000000000002,0.025,0.008,0.0,0.127,0.001,0.0
ENSG00000123243,0.031,0.4,2.029,0.012,0.019,0.02,0.025,0.021,0.011,0.023,0.011,0.061,0.02,0.008
ENSG00000123342,0.006,0.006999999999999999,0.81,1.161,0.003,0.003,0.005,0.094,0.009000000000000001,0.006,0.0,0.009000000000000001,0.009000000000000001,0.436
ENSG00000123384,0.0,0.027000000000000003,1.617,0.27,0.005,0.004,0.004,0.053,0.001,0.006999999999999999,0.0,0.039,0.011,0.297
ENSG00000123416,2.343,4.205,4.252,4.112,1.556,1.164,1.235,5.787000000000001,1.905,1.035,0.933,2.26,0.916,0.0
ENSG00000123560,0.005,0.006999999999999999,0.085,0.004,0.0,0.004,0.003,0.0,0.002,0.0,0.0,0.274,0.001,0.0
ENSG00000123600,0.136,0.162,0.18600000000000005,0.118,0.46,0.5770000000000001,0.185,0.125,0.266,0.237,0.041,0.096,1.711,0.0
ENSG00000123610,0.0,0.01,1.351,0.825,0.006,0.001,0.001,0.101,0.002,0.003,0.0,0.037000000000000005,0.023,0.142
ENSG00000123689,0.024,0.2,0.72,11.904000000000002,0.09,0.039,0.025,5.377000000000002,0.015,0.026,0.009000000000000001,0.161,0.07200000000000001,8.749
ENSG00000124107,0.0,0.035,0.056,0.002,0.002,0.0,0.0,0.0,0.002,0.002,0.0,0.048,0.0,0.037000000000000005
