NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000135094,0.003,0.014,0.013,2.152,0.004,0.005,0.009000000000000001,0.4270000000000001,0.0,0.0,0.029,0.004,0.011,1.342
ENSG00000135114,0.064,0.025,0.02,0.122,0.006999999999999999,0.028,0.085,0.029,0.005,0.02,0.0,0.048,0.049,0.122
ENSG00000135127,0.123,0.016,0.014,0.033,0.042,0.344,0.425,0.033,0.045,0.229,0.062,0.027000000000000003,0.34,0.001
ENSG00000135218,0.003,7.572999999999999,0.048,1.126,0.016,0.018000000000000002,0.018000000000000002,0.28600000000000003,0.014,0.012,0.0,0.123,0.006999999999999999,1.6909999999999998
ENSG00000135245,0.106,0.227,0.5760000000000001,0.093,0.043,0.11,0.068,0.166,0.113,0.047,0.035,0.06,0.117,0.0
ENSG00000135404,3.702,8.45,19.542,6.761,0.499,0.597,1.23,2.462,0.313,0.302,0.102,3.464,0.574,0.0
ENSG00000135454,0.006999999999999999,0.0,0.011,0.0,0.0,0.001,0.001,0.005,0.001,0.001,0.0,0.054000000000000006,0.0,0.0
ENSG00000135549,0.003,0.002,0.002,0.282,0.004,0.005,0.005,0.95,0.006,0.006999999999999999,0.0,0.134,0.005,0.5
ENSG00000135625,0.045,0.011,0.065,0.018000000000000002,0.041,0.02,0.012,0.014,0.012,0.001,0.0,0.005,0.002,0.016
ENSG00000135643,0.003,0.051,0.043,0.027000000000000003,0.005,0.003,0.004,0.005,0.002,0.006999999999999999,0.0,0.044,0.001,0.042
ENSG00000135678,0.029,0.233,0.318,1.481,0.015,0.042,0.02,0.602,0.052000000000000005,0.038,0.031,0.08900000000000001,0.085,0.3
ENSG00000135821,0.654,1.5219999999999998,4.202,5.725,0.07,0.191,0.275,1.233,0.14300000000000002,0.205,0.053,0.302,0.09,6.806
ENSG00000135842,0.6679999999999999,0.255,0.095,0.209,0.069,0.513,0.804,0.419,0.061,0.19,0.006999999999999999,0.16399999999999998,0.912,0.0
ENSG00000135862,0.003,0.932,2.037,0.006999999999999999,0.019,0.006,0.002,0.005,0.049,0.006,0.0,0.058,0.002,0.009000000000000001
ENSG00000135919,0.254,0.033,2.4,0.006,0.021,0.013,0.039,0.021,0.052000000000000005,0.116,0.056,0.032,0.065,0.014
ENSG00000136111,0.044,0.443,0.057,0.059,0.039,0.239,0.07,0.425,0.07,0.4370000000000001,0.305,0.035,1.941,0.057
ENSG00000136160,0.0,0.233,1.922,0.009000000000000001,0.001,0.003,0.003,0.002,0.0,0.0,0.0,0.031,0.002,0.019
ENSG00000136235,0.023,0.021,0.802,0.8240000000000001,0.006999999999999999,0.004,0.006,0.017,0.001,0.003,0.0,0.043,0.001,0.777
ENSG00000136244,0.006,0.313,0.198,0.593,0.28,0.001,0.002,0.124,0.525,0.006,0.0,0.022,0.001,0.7190000000000001
ENSG00000136546,0.0,0.001,0.08900000000000001,0.005,0.001,0.002,0.001,0.008,0.002,0.0,0.0,0.191,0.001,0.0
ENSG00000136573,0.015,0.02,0.03,0.012,1.176,0.029,0.075,0.012,0.944,0.019,0.012,0.068,0.015,0.008
ENSG00000136634,0.019,0.006999999999999999,0.027000000000000003,0.627,0.091,0.044,0.1,0.041,0.006999999999999999,0.009000000000000001,0.0,0.01,0.365,0.471
ENSG00000136689,0.002,0.012,0.004,1.534,0.004,0.002,0.002,0.171,0.003,0.0,0.0,0.023,0.008,3.025
ENSG00000136810,1.486,3.429,4.085,6.936,0.78,1.45,1.24,27.467,0.431,0.807,0.45,3.49,1.78,0.0
ENSG00000136859,0.0,0.308,1.001,0.002,0.001,0.0,0.001,0.005,0.0,0.0,0.0,0.006,0.0,0.008
ENSG00000136872,0.027000000000000003,0.027000000000000003,0.053,0.11,0.034,0.066,0.057,0.056,0.033,0.071,0.038,3.922,0.071,0.002
ENSG00000136960,0.034,6.016,0.08900000000000001,0.311,0.011,0.014,0.018000000000000002,0.158,0.014,0.011,0.053,0.032,0.003,0.403
ENSG00000136997,0.649,0.763,1.3969999999999998,0.155,2.278,1.3730000000000002,1.142,0.106,1.269,0.546,0.34600000000000003,0.28,0.264,0.0
ENSG00000136999,0.0,1.026,0.028,0.003,0.001,0.001,0.002,0.001,0.0,0.002,0.0,0.019,0.003,0.016
ENSG00000137033,0.0,1.338,0.095,0.005,0.004,0.0,0.002,0.001,0.0,0.0,0.0,0.002,0.0,0.001
ENSG00000137077,0.006,13.232,1.06,0.015,0.008,0.011,0.015,0.021,0.008,0.008,0.0,0.024,0.006999999999999999,0.031
ENSG00000137078,0.014,0.024,0.022,0.041,0.6509999999999999,0.41,0.465,0.03,0.584,0.338,0.268,0.1,0.797,0.031
ENSG00000137101,0.191,0.011,0.025,0.457,0.423,0.043,0.064,0.31,1.82,0.008,0.035,0.027000000000000003,0.033,0.153
ENSG00000137265,0.358,0.032,0.022,0.172,0.166,0.158,0.19,0.716,0.218,0.078,0.067,0.28300000000000003,0.337,0.0
ENSG00000137273,0.0,0.02,0.868,0.002,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.011,0.0,0.001
ENSG00000137285,0.005,0.01,0.026,0.002,0.004,0.001,0.002,0.081,0.008,0.002,0.0,0.052000000000000005,0.0,0.009000000000000001
ENSG00000137331,0.44,1.656,3.647,11.651,0.05,0.158,0.195,3.584,0.054000000000000006,0.071,0.039,1.085,0.108,0.0
ENSG00000137441,0.35200000000000004,0.002,0.001,0.002,0.0,0.0,0.07,0.0,0.0,0.005,0.095,0.021,0.002,0.0
ENSG00000137501,0.26,0.052000000000000005,0.171,0.039,0.02,0.518,0.506,0.008,0.025,0.129,0.076,0.11,0.099,0.0
ENSG00000137573,0.0,0.083,1.405,0.004,0.002,0.0,0.001,0.0,0.003,0.001,0.0,0.006,0.0,0.006999999999999999
ENSG00000137710,0.35,3.224,1.177,0.5820000000000001,0.185,0.224,0.157,0.398,0.103,0.135,0.041,0.312,0.413,0.378
ENSG00000137726,0.0,0.955,0.604,0.024,0.002,0.002,0.003,0.031,0.004,0.003,0.0,0.022,0.0,0.0
ENSG00000137801,0.08199999999999999,0.501,2.255,4.303,0.017,0.053,0.07200000000000001,0.6859999999999999,0.018000000000000002,0.027000000000000003,0.012,0.103,0.05,1.109
ENSG00000137804,0.163,0.021,0.045,0.045,0.032,0.068,0.061,0.152,0.026,0.009000000000000001,0.0,0.17600000000000002,0.121,0.493
ENSG00000137831,0.035,1.635,0.134,0.055,0.028,0.008,0.009000000000000001,0.024,0.064,0.011,0.012,0.08800000000000001,0.01,0.0
ENSG00000137872,0.002,0.128,0.457,0.003,0.0,0.002,0.003,0.0,0.002,0.0,0.0,0.12,0.0,0.0
ENSG00000137959,0.126,1.278,0.298,0.202,0.301,0.454,0.124,0.065,0.511,0.132,0.038,0.097,0.079,0.215
ENSG00000137962,0.0,3.681,0.245,0.012,0.004,0.005,0.009000000000000001,0.004,0.006,0.004,0.0,0.043,0.008,0.003
ENSG00000137965,0.162,0.615,0.358,0.256,0.07200000000000001,0.8759999999999999,0.287,0.062,0.075,0.146,0.141,0.172,0.34600000000000003,0.201
ENSG00000138030,0.032,0.041,0.03,0.027000000000000003,0.025,0.036000000000000004,0.032,0.017,0.013,0.027000000000000003,0.0,0.579,0.019,0.0
ENSG00000138061,0.0,0.262,0.747,0.118,0.002,0.001,0.0,0.023,0.001,0.0,0.0,0.002,0.001,0.059
ENSG00000138080,0.004,0.069,4.08,0.02,0.003,0.004,0.002,0.027000000000000003,0.005,0.004,0.02,0.019,0.001,0.041
ENSG00000138135,0.277,0.122,1.17,0.85,0.029,0.581,0.299,0.287,0.068,0.295,0.048,0.054000000000000006,0.35100000000000003,0.011
ENSG00000138449,0.037000000000000005,0.317,0.512,4.051,0.012,0.06,0.046,0.397,0.014,0.15,0.103,0.131,0.023,2.036
ENSG00000138639,0.047,0.08,0.6559999999999999,0.11,2.717,0.011,0.009000000000000001,0.024,2.545,0.017,0.014,0.101,0.033,0.033
ENSG00000138722,0.07200000000000001,1.893,0.0,0.001,0.005,0.013,0.006,0.002,0.027000000000000003,0.014,0.0,0.006,0.011,0.0
ENSG00000138755,0.015,0.06,0.054000000000000006,1.652,0.006999999999999999,0.004,0.003,1.328,0.005,0.0,0.0,0.008,0.002,0.92
ENSG00000138769,0.003,0.0,0.001,0.001,0.003,0.008,0.012,0.0,0.0,0.001,0.0,0.003,0.155,0.0
ENSG00000138792,0.0,0.015,0.034,0.008,0.003,0.005,0.003,0.001,0.006,0.008,0.0,0.256,0.004,0.0
ENSG00000138795,0.147,0.171,0.091,0.012,0.027000000000000003,0.264,0.193,0.011,0.034,1.596,2.004,0.036000000000000004,0.443,0.0
ENSG00000138823,0.0,0.008,0.005,0.004,0.005,0.005,0.003,0.003,0.005,0.003,0.011,0.359,0.001,0.0
ENSG00000139117,0.027000000000000003,0.895,0.939,0.102,0.002,0.014,0.02,0.048,0.013,0.009000000000000001,0.0,0.016,0.025,0.0
ENSG00000139187,0.696,0.07,0.019,0.038,0.04,0.506,0.853,0.028,0.071,0.28300000000000003,0.054000000000000006,0.05,0.189,0.017
ENSG00000139194,0.0,2.302,0.57,0.006,0.005,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.003,0.005,0.0,0.009000000000000001,0.016,0.01
ENSG00000139289,1.04,0.899,3.678,0.902,0.098,2.72,2.059,0.244,0.139,0.44,0.071,0.609,2.945,0.58
ENSG00000139318,0.475,2.023,0.625,1.109,0.055,0.309,0.245,0.33,0.155,0.08199999999999999,0.021,0.225,0.119,1.291
ENSG00000139329,0.003,0.062,38.101,0.045,0.029,0.021,0.03,0.039,0.017,0.015,0.037000000000000005,0.031,0.02,0.245
ENSG00000139679,0.115,0.953,0.231,1.358,0.024,0.389,0.226,0.471,0.04,0.56,0.153,0.04,0.175,0.565
ENSG00000139910,0.001,0.065,0.957,0.002,0.001,0.001,0.001,0.001,0.0,0.006,0.012,0.006999999999999999,0.001,0.003
ENSG00000140092,0.068,0.145,2.7310000000000003,0.02,0.019,0.251,0.192,0.008,0.015,0.311,0.188,0.059,0.116,0.008
ENSG00000140105,0.075,2.291,1.092,1.368,0.16,0.059,0.059,1.181,0.195,0.046,0.065,0.24,0.086,2.186
ENSG00000140285,0.034,0.09,1.636,0.019,0.031,0.025,0.031,0.009000000000000001,0.034,0.021,0.032,0.03,0.027000000000000003,0.006999999999999999
ENSG00000140379,1.479,0.058,0.054000000000000006,3.483,2.066,1.043,0.773,3.355,1.108,0.311,0.124,0.152,0.363,3.125
ENSG00000140403,0.054000000000000006,0.136,0.11,0.126,0.048,0.085,0.109,0.118,0.033,0.094,0.095,0.087,0.084,0.0
ENSG00000140416,0.067,1.395,7.4220000000000015,0.208,0.05,0.08199999999999999,0.112,0.096,0.049,0.087,0.094,1.046,0.084,0.324
ENSG00000140545,0.16,0.359,1.955,0.035,0.014,0.02,0.049,0.024,0.018000000000000002,0.07200000000000001,0.093,0.168,0.051,0.027000000000000003
ENSG00000140563,2.759,0.087,0.252,0.018000000000000002,0.13,0.063,0.126,0.006,0.272,0.024,0.029,0.08,0.015,0.0
ENSG00000140682,0.004,0.555,1.3730000000000002,0.004,0.006,0.008,0.003,0.011,0.006,0.005,0.012,0.052000000000000005,0.002,0.01
ENSG00000140749,0.048,0.016,0.025,2.932,0.02,0.012,0.018000000000000002,1.947,0.013,0.012,0.012,0.012,0.017,2.591
ENSG00000140937,0.0,0.063,1.45,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.009000000000000001,0.0,0.001
ENSG00000140945,0.011,0.302,0.298,0.023,0.005,0.009000000000000001,0.017,0.017,0.01,0.006,0.0,0.014,0.008,0.003
ENSG00000140993,0.024,0.017,0.032,0.009000000000000001,0.02,0.019,0.016,0.009000000000000001,0.02,0.009000000000000001,0.006,0.012,0.02,0.0
ENSG00000141338,0.008,0.012,4.709,0.002,0.001,0.001,0.006999999999999999,0.001,0.001,0.002,0.0,0.079,0.0,0.009000000000000001
ENSG00000141469,0.047,0.75,0.017,0.008,0.034,0.017,0.03,0.009000000000000001,0.015,0.009000000000000001,0.0,0.006999999999999999,0.061,0.003
ENSG00000141622,0.182,0.104,0.03,0.002,0.005,0.01,0.012,0.006,0.001,0.008,0.0,0.006,0.006,0.0
ENSG00000141682,4.738,0.324,0.263,1.027,2.58,1.406,1.879,2.007,2.242,0.56,0.129,0.691,4.124,0.0
ENSG00000141753,0.117,8.217,5.509,0.062,0.025,0.046,0.043,0.019,0.06,0.034,0.0,0.172,0.026,0.149
ENSG00000141756,0.005,0.26,1.4409999999999998,0.002,0.005,0.001,0.001,0.0,0.003,0.0,0.0,0.021,0.002,0.0
ENSG00000142089,1.641,21.563,17.532,5.01,0.08800000000000001,0.211,0.287,3.185,0.145,0.18,0.307,1.08,0.141,5.567
ENSG00000142156,0.017,0.366,5.675,0.014,0.01,0.011,0.014,0.006,0.0,0.013,0.012,0.069,0.011,0.056
ENSG00000142173,0.033,1.237,10.913,0.03,0.006999999999999999,0.018000000000000002,0.044,0.025,0.018000000000000002,0.034,0.054000000000000006,0.123,0.013,0.058
ENSG00000142552,0.0,0.084,1.635,0.023,0.001,0.001,0.003,0.014,0.002,0.004,0.0,0.034,0.006,0.048
ENSG00000142748,0.0,0.7140000000000001,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.003
ENSG00000142798,0.027000000000000003,5.71,0.575,0.017,0.01,0.011,0.01,0.012,0.006,0.022,0.033,0.073,0.018000000000000002,0.009000000000000001
ENSG00000142871,0.01,1.662,13.238,0.017,0.017,0.006999999999999999,0.009000000000000001,0.012,0.001,0.006,0.008,0.23,0.013,0.021
ENSG00000142910,0.022,1.7619999999999998,0.03,0.008,0.004,0.006999999999999999,0.006,0.011,0.006999999999999999,0.008,0.0,0.171,0.006999999999999999,0.012
ENSG00000143153,0.229,0.105,0.413,0.395,0.045,0.122,0.264,0.436,0.027000000000000003,0.073,0.091,0.7759999999999999,0.435,0.568
ENSG00000143184,8.164,0.032,0.057,0.044,0.02,0.073,2.537,0.018000000000000002,0.027000000000000003,0.047,0.027000000000000003,0.147,0.042,0.002
ENSG00000143185,7.167999999999998,0.023,0.023,0.025,0.019,0.05,1.671,0.016,0.01,0.035,0.0,0.136,0.019,0.003
ENSG00000143196,0.0,0.0,2.091,0.005,0.001,0.002,0.0,0.001,0.0,0.006,0.0,0.001,0.0,0.001
ENSG00000143226,0.01,0.087,0.068,1.673,0.04,0.003,0.006,0.561,0.013,0.0,0.0,0.017,0.003,0.0
ENSG00000143248,0.022,2.432,0.907,0.018000000000000002,0.011,0.015,0.025,0.015,0.01,0.013,0.0,0.7190000000000001,0.004,0.0
ENSG00000143320,0.0,0.01,0.941,0.001,0.003,0.001,0.003,0.001,0.003,0.0,0.0,0.002,0.0,0.005
ENSG00000143322,0.08199999999999999,1.5490000000000002,0.785,0.928,0.091,0.112,0.114,0.494,0.126,0.099,0.081,0.094,0.102,0.0
ENSG00000143333,0.141,0.738,0.498,0.035,0.099,0.046,0.059,0.014,0.154,0.026,0.017,0.166,0.04,0.034
ENSG00000143369,0.0,0.07200000000000001,1.058,0.016,0.002,0.003,0.002,0.006,0.003,0.0,0.0,0.035,0.0,0.017
ENSG00000143387,0.017,0.056,6.669,0.13,0.011,0.012,0.032,0.773,0.002,0.011,0.01,0.021,0.025,0.039
ENSG00000143507,1.3530000000000002,0.062,0.139,0.199,0.33,0.452,0.601,0.2,0.181,0.175,0.07400000000000001,0.131,0.884,0.223
ENSG00000143545,0.014,3.654,3.055,0.605,0.023,0.011,0.015,0.528,0.04,0.016,0.04,0.32299999999999995,0.013,0.0
ENSG00000143546,0.0,0.014,0.053,5.189,0.001,0.003,0.004,0.095,0.01,0.006999999999999999,0.02,0.006,0.012,9.698
ENSG00000143878,0.245,4.855,3.977,1.452,0.343,0.202,0.36,0.555,0.264,0.156,0.096,1.3,0.103,0.0
ENSG00000143995,0.0,0.047,0.382,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.008,0.001,0.0
ENSG00000144063,0.0,1.621,0.091,0.011,0.005,0.006,0.006,0.001,0.008,0.006,0.012,0.43,0.011,0.008
ENSG00000144136,0.302,0.378,0.349,1.005,0.2,0.27,0.341,1.058,0.154,0.16,0.196,0.501,0.232,0.612
ENSG00000144218,0.17600000000000002,0.017,0.218,0.116,0.377,0.09,0.031,0.445,0.977,0.062,0.035,0.104,0.041,0.032
ENSG00000144290,0.021,0.01,0.006,0.01,0.005,0.2,0.17600000000000002,0.003,0.017,0.003,0.0,0.08,0.022,0.0
ENSG00000144366,0.0,0.485,0.6920000000000001,0.003,0.005,0.005,0.003,0.006,0.002,0.01,0.027000000000000003,0.076,0.006999999999999999,0.0
ENSG00000144410,0.0,0.001,0.005,0.0,0.0,0.001,0.002,0.002,0.005,0.0,0.0,0.123,0.0,0.0
ENSG00000144476,0.002,0.299,0.635,0.034,0.001,0.001,0.003,0.008,0.002,0.001,0.0,0.009000000000000001,0.0,0.002
ENSG00000144642,0.012,0.504,1.381,0.005,0.002,0.008,0.002,0.004,0.0,0.018000000000000002,0.0,0.027000000000000003,0.004,0.004
ENSG00000144677,0.0,0.141,0.5760000000000001,0.027000000000000003,0.001,0.002,0.001,0.009000000000000001,0.0,0.002,0.0,0.045,0.004,0.0
ENSG00000144810,0.0,0.011,0.293,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.004
ENSG00000145147,0.0,0.001,0.5820000000000001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.015,0.0,0.001
ENSG00000145220,0.535,0.379,0.292,0.361,0.182,0.987,2.556,0.307,0.217,0.458,0.267,0.157,0.375,0.284
ENSG00000145362,0.003,0.085,0.611,0.003,0.005,0.006,0.006,0.0,0.002,0.0,0.0,0.049,0.009000000000000001,0.0
ENSG00000145384,0.037000000000000005,0.052000000000000005,0.065,0.124,0.062,0.086,0.07,0.087,0.061,0.081,0.078,5.751,0.057,0.012
ENSG00000145416,0.026,0.012,0.034,0.7040000000000001,1.978,0.003,0.008,0.672,2.301,0.021,0.009000000000000001,0.016,0.013,0.759
ENSG00000145423,0.0,0.008,5.849,0.005,0.015,0.002,0.003,0.0,0.005,0.002,0.0,0.004,0.002,0.0
ENSG00000145632,0.198,0.821,0.414,0.122,0.066,0.103,0.095,0.121,0.059,0.059,0.038,0.1,0.015,0.115
ENSG00000145649,12.692,0.07200000000000001,0.087,0.112,0.054000000000000006,1.189,3.891,0.08900000000000001,0.166,0.083,0.083,0.232,0.52,0.025
ENSG00000145681,0.0,0.017,2.797,0.0,0.0,0.002,0.003,0.003,0.002,0.002,0.0,0.001,0.001,0.004
ENSG00000145824,0.103,0.204,51.719,0.153,0.132,0.142,0.17800000000000002,0.154,0.126,0.112,0.067,0.119,0.126,0.5489999999999999
ENSG00000146013,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.0,0.065,0.0,0.001
ENSG00000146070,0.0,0.004,0.018000000000000002,0.978,0.002,0.002,0.001,0.098,0.0,0.0,0.012,0.001,0.003,1.939
ENSG00000146122,0.017,0.048,0.723,0.012,0.009000000000000001,0.012,0.022,0.023,0.006999999999999999,0.006,0.0,0.027000000000000003,0.025,0.0
ENSG00000146374,0.0,0.075,0.509,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.005,0.0,0.0
ENSG00000146592,0.003,0.34600000000000003,0.38,0.256,0.051,0.003,0.002,0.201,0.005,0.001,0.0,0.043,0.0,0.272
ENSG00000146674,0.004,2.833,4.395,0.015,0.006,0.094,0.108,0.011,0.009000000000000001,0.037000000000000005,0.026,0.019,0.01,0.014
ENSG00000146938,0.0,0.016,0.276,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.036000000000000004,0.0,0.001
ENSG00000147027,0.0,0.769,0.727,0.003,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.052000000000000005,0.0,0.0
ENSG00000147113,0.0,1.223,0.016,0.002,0.003,0.004,0.004,0.004,0.006,0.002,0.0,0.002,0.003,0.003
ENSG00000147174,0.027000000000000003,0.027000000000000003,0.01,0.012,0.009000000000000001,0.047,0.038,0.006,0.01,0.035,0.0,0.012,0.02,0.0
ENSG00000147257,0.0,0.002,0.47,0.0,0.0,0.001,0.001,0.001,0.0,0.004,0.033,0.009000000000000001,0.0,0.001
ENSG00000147443,0.535,0.022,0.041,0.662,0.112,0.477,0.578,0.4970000000000001,0.107,0.408,0.17800000000000002,0.075,0.7559999999999999,1.266
ENSG00000147862,0.0,5.1560000000000015,0.83,0.012,0.006999999999999999,0.011,0.009000000000000001,0.012,0.002,0.009000000000000001,0.0,0.172,0.003,0.019
ENSG00000147872,1.263,0.589,1.346,3.4930000000000003,0.396,1.099,0.703,1.132,0.3670000000000001,0.52,0.219,0.505,1.2819999999999998,1.379
ENSG00000148053,0.0,0.07200000000000001,0.021,0.001,0.0,0.02,0.006,0.005,0.0,0.004,0.0,0.015,0.048,0.0
ENSG00000148180,0.415,11.916,4.885,1.324,0.159,0.048,0.056,2.577,0.057,0.029,0.033,0.472,0.053,1.6469999999999998
ENSG00000148346,0.019,0.009000000000000001,0.02,0.028,0.026,0.012,0.012,0.015,0.005,0.01,0.009000000000000001,1.042,0.025,0.301
ENSG00000148541,0.0,0.599,0.189,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.0,0.021,0.001,0.0
ENSG00000148671,0.029,5.528,2.077,0.077,0.063,0.092,0.084,0.065,0.079,0.078,0.158,6.061,0.046,0.052000000000000005
ENSG00000148848,0.006999999999999999,0.017,0.281,0.018000000000000002,0.003,0.081,0.045,0.069,0.009000000000000001,0.006999999999999999,0.0,0.019,0.322,0.003
ENSG00000148926,0.017,0.7609999999999999,2.408,0.522,0.01,0.011,0.009000000000000001,0.127,0.01,0.004,0.0,0.111,0.008,0.224
ENSG00000148942,0.0,0.001,0.0,0.004,0.002,0.003,0.002,0.002,0.004,0.0,0.0,0.162,0.003,0.0
ENSG00000149131,0.0,1.4280000000000002,4.882,0.6659999999999999,0.004,0.006,0.011,0.107,0.006999999999999999,0.008,0.014,0.18600000000000005,0.006,0.397
ENSG00000149257,0.037000000000000005,1.462,4.77,0.096,0.021,0.042,0.055,0.069,0.021,0.033,0.011,0.133,0.054000000000000006,0.136
ENSG00000149294,1.123,0.051,0.636,0.011,0.003,0.023,0.034,0.004,0.002,0.0,0.0,0.083,0.035,0.0
ENSG00000149534,0.017,0.014,0.012,0.008,0.009000000000000001,0.012,0.019,0.01,0.009000000000000001,0.013,0.022,0.073,0.009000000000000001,0.0
ENSG00000149564,0.013,2.704,0.008,0.004,0.008,0.004,0.005,0.009000000000000001,0.02,0.008,0.0,0.027000000000000003,0.003,0.011
ENSG00000149591,0.031,0.573,22.247,0.1,0.033,0.02,0.028,0.031,0.042,0.04,0.017,0.767,0.024,0.085
ENSG00000149968,0.006,0.006999999999999999,3.235,0.028,0.01,0.003,0.003,0.036000000000000004,0.002,0.009000000000000001,0.0,0.013,0.006,0.0
ENSG00000150045,6.3020000000000005,0.013,0.156,0.019,0.01,0.004,0.069,0.011,0.003,0.006,0.0,0.006999999999999999,0.009000000000000001,0.0
ENSG00000150471,0.0,0.023,1.415,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.018000000000000002,0.002,0.0
ENSG00000150636,0.027000000000000003,0.265,0.816,0.021,0.03,0.029,0.025,0.026,0.025,0.015,0.035,0.059,0.013,0.024
ENSG00000150687,0.066,7.777,0.611,0.028,0.006999999999999999,0.013,0.029,0.016,0.006999999999999999,0.011,0.0,0.112,0.02,0.02
ENSG00000150938,0.114,1.6569999999999998,0.472,0.034,0.018000000000000002,0.041,0.059,0.006999999999999999,0.015,0.016,0.0,0.078,0.04,0.0
ENSG00000151065,0.028,0.06,0.092,0.032,0.041,0.119,0.109,0.023,0.041,0.035,0.034,0.022,0.24,0.0
ENSG00000151150,0.026,0.041,0.162,0.034,0.13699999999999998,0.17600000000000002,0.13,0.077,0.024,0.175,0.058,0.182,0.037000000000000005,0.0
ENSG00000151468,0.0,0.364,0.043,0.001,0.001,0.003,0.002,0.0,0.002,0.0,0.0,0.016,0.005,0.0
ENSG00000151474,0.033,0.723,0.306,0.361,0.018000000000000002,0.036000000000000004,0.033,0.098,0.011,0.024,0.02,0.06,0.067,0.0
ENSG00000151617,0.0,0.034,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0
ENSG00000151789,0.009000000000000001,0.979,0.006,0.001,0.006,0.004,0.001,0.001,0.0,0.0,0.009000000000000001,0.008,0.002,0.001
ENSG00000151790,0.0,0.004,0.987,0.001,0.003,0.001,0.0,0.0,0.006,0.003,0.0,0.01,0.003,0.0
ENSG00000151914,0.109,0.7340000000000001,2.5660000000000003,0.355,0.014,0.012,0.013,0.465,0.005,0.012,0.01,0.439,0.026,0.104
ENSG00000151929,0.023,0.5920000000000001,0.547,0.2,0.066,0.109,0.061,0.132,0.019,0.116,0.109,0.111,0.092,0.252
ENSG00000152409,0.341,0.196,0.149,0.188,0.165,0.602,0.449,0.16899999999999998,0.16399999999999998,0.276,0.237,0.275,0.529,0.0
ENSG00000152527,0.02,0.032,1.746,0.006,0.009000000000000001,0.011,0.015,0.016,0.005,0.014,0.028,0.019,0.004,0.005
ENSG00000152583,0.071,34.893,11.502,0.05,0.026,0.049,0.053,0.03,0.035,0.02,0.068,0.8270000000000001,0.041,0.036000000000000004
ENSG00000152661,0.0,1.5319999999999998,1.007,0.005,0.002,0.002,0.003,0.005,0.002,0.003,0.0,0.003,0.004,0.001
ENSG00000152804,0.034,0.851,0.008,0.17800000000000002,0.302,0.006999999999999999,0.01,0.241,0.7709999999999999,0.014,0.0,0.048,0.006999999999999999,0.223
ENSG00000152969,0.051,0.005,0.002,0.008,0.01,0.034,0.076,0.006,0.011,0.013,0.0,0.01,0.205,0.0
ENSG00000153064,0.052000000000000005,0.018000000000000002,0.034,0.041,3.278,0.006999999999999999,0.009000000000000001,0.05,2.865,0.008,0.0,0.054000000000000006,0.014,0.055
ENSG00000153071,0.01,1.103,1.0,1.318,0.006,0.006999999999999999,0.006999999999999999,0.108,0.0,0.009000000000000001,0.0,0.026,0.006999999999999999,1.004
ENSG00000153563,0.647,0.076,0.067,0.111,0.057,0.589,5.877999999999999,0.044,0.131,0.496,2.457,0.097,0.268,0.006
ENSG00000153902,0.0,0.034,0.017,0.004,0.001,0.002,0.002,0.002,0.0,0.002,0.0,0.182,0.003,0.001
ENSG00000154096,0.0,0.584,2.755,0.006,0.006999999999999999,0.046,0.005,0.006,0.005,0.001,0.0,0.087,0.006,0.027000000000000003
ENSG00000154099,0.04,0.064,0.031,0.215,0.036000000000000004,0.028,0.036000000000000004,0.076,0.044,0.033,0.008,0.612,0.069,0.118
ENSG00000154175,0.006999999999999999,0.076,0.611,0.003,0.001,0.003,0.002,0.002,0.004,0.003,0.0,0.027000000000000003,0.003,0.001
ENSG00000154262,0.004,0.056,1.933,0.002,0.017,0.006999999999999999,0.006,0.013,0.009000000000000001,0.002,0.0,0.033,0.006,0.006
ENSG00000154263,0.0,0.009000000000000001,0.289,0.004,0.006,0.006,0.006999999999999999,0.0,0.012,0.008,0.012,0.01,0.004,0.0
ENSG00000154451,0.205,0.173,0.058,0.485,0.109,0.298,0.388,0.162,0.17,0.13,0.111,0.078,1.087,0.5429999999999999
ENSG00000154529,0.008,0.61,0.02,0.006,0.003,0.005,0.002,0.018000000000000002,0.003,0.0,0.0,0.004,0.003,0.0
